viva_usage,performance_transparency,digital_literacy,work_engagement
3.5,4.0,3.8,4.2
4.2,3.8,4.0,4.5
3.8,4.2,3.9,4.3
4.0,4.1,4.1,4.4
3.9,3.9,3.7,4.1
4.1,4.3,4.2,4.6
3.7,4.0,3.6,4.0
4.3,3.7,4.0,4.7
3.6,4.1,3.8,4.2
4.0,3.8,4.1,4.3
3.8745401188473627,3.5205844942958024,4.11185289472238,4.425281396331007
4.450714306409916,4.469909852161995,3.639493860652042,4.119366886581104
4.231993941811405,4.332442640800422,3.792144648535218,4.045536115089695
4.098658484197037,3.7123391106782764,3.8663618432936917,4.6642198760773335
3.6560186404424364,3.681824967207101,3.956069984217036,4.6759424231521916
3.6559945203362028,3.6834045098534336,4.285175961393014,4.565878143681523
3.5580836121681996,3.8042422429595377,3.6996737821583596,4.2132296384213594
4.3661761457749355,4.0247564316322375,4.014234438413611,4.068370479804469
4.101115011743209,3.9319450186421157,4.092414568862043,4.47896311855851
4.208072577796045,3.791229140198042,3.546450412719998,4.308106745617721
